Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Apple,2021,iOS,174 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,לא זמין,5,6.1 אינטש,2 + 4 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,2720,3699,כולל,5.0,לא זמין,1
Samsung,לא זמין,Android,181 גרם,לא זמין,סמארטפון,מסך מגע,8GB,לא זמין,4,6.7 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,393 ppi,120 Hz,Super AMOLED Plus,IP67,לא זמין,microSDXC,32‏ מגה פיקסל,לא זמין,כולל,כולל,1369,1825,אופציונאלי,5.0,"5,000 mAh",1
Apple,לא זמין,iOS,172 גרם,לא זמין,סמארטפון,מסך מגע,4GB,לא זמין,4,6.1 אינטש,לא זמין,1170x2532‏ פיקסלים,460 ppi,לא זמין,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,3015,4098,כולל,לא זמין,לא זמין,1
Apple,2020,iOS,228 גרם,iPhone 12 Pro Max,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.7 אינטש,6 ליבות,1284x2778‏ פיקסלים,458 ppi,לא זמין,Super Retina,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 + 12 מגה פיקסל,ללא,כולל,2890,6499,כולל,5.0,לא זמין,1
Apple,לא זמין,iOS,240 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.7 אינטש,לא זמין,לא זמין,460 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,לא זמין,כולל,4950,6399,כולל,לא זמין,לא זמין,1
Apple,לא זמין,iOS,206 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,לא זמין,לא זמין,460 ppi,120 Hz,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,לא זמין,לא זמין,כולל,4568,5600,כולל,לא זמין,לא זמין,1
Apple,2020,iOS,164 גרם,iPhone 12,סמארטפון,מסך מגע,לא זמין,לא זמין,5,6.1 אינטש,8 ליבות,1170x2532‏ פיקסלים,460 ppi,לא זמין,לא זמין,IP68,לא זמין,ללא,12‏ מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,1849,3699,כולל,5.0,לא זמין,1
Xiaomi,2021,Android,215 גרם,Poco X3,סמארטפון,מסך מגע,8GB,2960 2420 1780 MHz,4,6.67 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,395 ppi,120 Hz,IPS,IP53,לא זמין,microSDXC,20‏ מגה פיקסל,48 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,1049,1349,אופציונאלי,5.0,"5,160 mAh",1
Xiaomi,לא זמין,Android,179 גרם,לא זמין,סמארטפון,מסך מגע,6GB,לא זמין,4,6.43 אינטש,4 + 4 ליבות,1080x2400‏ פיקסלים,409 ppi,90 Hz,AMOLED,IP53,לא זמין,microSDXC,13‏ מגה פיקסל,50 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,695,999,אופציונאלי,5.0,"5,000 mAh",1
Samsung,לא זמין,Android,190 גרם,לא זמין,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,לא זמין,לא זמין,1080x2400‏ פיקסלים,407 ppi,120 Hz,Super AMOLED,IP67,שחור,microSDXC,32‏ מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,1215,1600,אופציונאלי,5.2,"5,000 mAh",1
Samsung,לא זמין,Android,177 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,1800 2420 2840 MHz,4,6.4 אינטש,1 + 3 + 4,1080x2400‏ פיקסלים,411 ppi,120 Hz,Dynamic AMOLED 2X,IP68,לא זמין,ללא,32‏ מגה פיקסל,לא זמין,כולל,כולל,1446,2420,כולל,כולל,"4,500 mAh",1
