Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,2022.0,Android,177.0,Galaxy S21,1,מסך מגע,8.0,7060.0,4.0,6.4,8.0,2592000.0,411.0,120.0,Dynamic AMOLED 2X,1,"לבן, לבנדר, גרפיט, ירוק זית",,32.0,32.0,1,1,1444.0,2529.0,1.0,1.0,4500.0,zap_1
Xiaomi,2022.0,Android,179.0,Redmi Note 11,1,מסך מגע,6.0,4300.0,4.0,6.43,8.0,2592000.0,409.0,90.0,AMOLED,1,"לבן, כחול, אפור",microSDXC,13.0,62.0,1,1,680.0,999.0,1.0,5.0,5000.0,zap_1
Samsung,2023.0,Android,234.0,Galaxy S23 Ultra,1,מסך מגע,512.0,8960.0,5.0,6.8,5.0,4446720.0,501.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,232.0,1,1,4489.0,5425.0,1.0,5.3,5000.0,zap_1
Samsung,2023.0,Android,234.0,Galaxy S23 Ultra,1,מסך מגע,12.0,10960.0,5.0,6.8,8.0,4446720.0,501.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,232.0,1,1,4005.0,4925.0,1.0,5.3,5000.0,zap_1
Samsung,2022.0,Android,228.0,Galaxy S22,1,מסך מגע,12.0,7100.0,4.0,6.8,8.0,4446720.0,500.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, אדום, ירוק, תכלת",,40.0,140.0,1,1,3418.0,4589.0,1.0,5.2,5000.0,zap_1
Apple,2022.0,iOS,172.0,iPhone 14,1,מסך מגע,4.0,5050.0,4.0,6.1,6.0,2962440.0,460.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3013.0,3899.0,1.0,5.3,,zap_1
Apple,2022.0,iOS,240.0,iPhone 14 Pro Max,1,מסך מגע,6.0,,4.0,6.7,,3606840.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4540.0,5500.0,1.0,5.3,,zap_1
Apple,2021.0,iOS,174.0,iPhone 13,1,מסך מגע,4.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,2833.0,3699.0,1.0,5.0,,zap_1
Samsung,2022.0,Android,177.0,Galaxy S21,1,מסך מגע,8.0,7060.0,4.0,6.4,8.0,2592000.0,411.0,120.0,Dynamic AMOLED 2X,1,"לבן, לבנדר, גרפיט, ירוק זית",,32.0,32.0,1,1,1444.0,2529.0,1.0,1.0,4500.0,zap_1
Samsung,2023.0,Android,168.0,Galaxy S23,1,מסך מגע,8.0,10960.0,5.0,6.1,8.0,2527200.0,422.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,2899.0,3475.0,1.0,5.3,3900.0,zap_1
