Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Samsung,2023,Android,234 גרם,Galaxy S23 Ultra,סמארטפון,מסך מגע,12GB,2000 2800 2800 3360 MHz,5,6.8 אינטש,3 + 2 + 2 + 1 ליבות,1440x3088 פיקסלים,501 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,200 + 10 + 10 +12 מגה פיקסל,כולל,כולל,"4,005","4,925",אופציונאלי,5.3,"5,000 mAh",1
Apple,2022,iOS,240 גרם,iPhone 14 Pro Max,סמארטפון,מסך מגע,6GB,לא זמין,4,6.7 אינטש,לא זמין,1290x2796 פיקסלים,460 ppi,120 Hz,LTPO Super Retina XDR OLED,IP68,"שחור, סגול, כסוף, זהב",ללא,12 מגה פיקסל,48 + 12 + 12 צגה פיקסל,לא זמין,כולל,"4,907","6,449",כולל,5.3,לא זמין,1
Apple,2021,iOS,174 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,יעודכן בקרוב,5,6.1 אינטש,2 + 4 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina,IP68,"שחור, כחול, אדום, ורוד",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"2,833","3,699",כולל,5.0,לא זמין,1
Samsung,2022,Android,177 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,1800 2420 2840 MHz,4,6.4 אינטש,1 + 3 + 4,1080x2400 פיקסלים,411 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"לבן, לבנדר, גרפיט, ירוק זית",ללא,32 מגה פיקסל,12 +8 + 12 מגה פיקסל,כולל,כולל,"1,444","2,529",כולל,כולל,"4,500 mAh",1
Samsung,2022,Android,181 גרם,Galaxy A73,סמארטפון,מסך מגע,8GB,1800 2400 MHz,4,6.7 אינטש,4 + 4 ליבות,1080x2400 פיקסלים,393 ppi,120 Hz,Super AMOLED Plus,IP67,"לבן, אפור",microSDXC,32 מגה פיקסל,108 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,"1,374","2,200",אופציונאלי,5.0,"5,000 mAh",1
Xiaomi,2023,Android,181 גרם,Poco X5 Pro,סמארטפון,מסך מגע,8GB,1900 2200 2400 MHz,5,6.67 אינטש,4 + 3 + 1 ליבות,1080x2400 פיקסלים,395 ppi,120 Hz,Super AMOLED,IP53,שחור,ללא,16 מגה פיקסל,108 + 8 + 2 מגה פיקסל,כולל,כולל,"1,185","1,650",אופציונאלי,5.2,"5,000 mAh",1
Samsung,2023,Android,202 גרם,Galaxy A54,סמארטפון,מסך מגע,8GB,2000 2400 MHz,5,6.4 אינטש,4 + 4 ליבות,1080x2340 פיקסלים,403 ppi,120 Hz,Super AMOLED,IP67,"לבן, צהוב",microSDXC,32 מגה פיקסל,50 + 12 + 5 מגה פיקסל,כולל,כולל,"1,374","1,801",אופציונאלי,5.3,"5,000 mAh",1
Apple,2022,iOS,172 גרם,iPhone 14,סמארטפון,מסך מגע,4GB,1820 3230 MHz,4,6.1 אינטש,4 + 2 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina XDR OLED,IP68,"כחול, סגול, אדום",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,לא זמין,כולל,"3,013","3,899",כולל,5.3,לא זמין,1
Samsung,2022,Android,228 גרם,Galaxy S22,סמארטפון,מסך מגע,12GB,1700 2400 3000 MHz,4,6.8 אינטש,4 + 3 + 1 ליבות,1440x3088 פיקסלים,500 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, לבן, אדום, ירוק, תכלת",ללא,40 מגה פיקסל,108 + 10 + 10 + 12 מגה פיקסל,כולל,כולל,"3,418","4,589",כולל,5.2,"5,000 mAh",1
Samsung,2023,Android,196 גרם,Galaxy S23 Plus,סמארטפון,מסך מגע,8GB,2000 2800 2800 3360 MHz,5,6.6 אינטש,3 + 2 + 2 + 1 ליבות,1080x2340 פיקסלים,390 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"3,363","4,080",אופציונאלי,5.3,"4,700 mAh",1
Apple,2022,iOS,206 גרם,iPhone 14 Pro,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,לא זמין,1179x2556 פיקסלים,460 ppi,120 Hz,LTPO Super Retina XDR OLED,IP68,"שחור, סגול, כסוף, זהב",ללא,12 מגה פיקסל,48 +12 +12 מגה פיקסל,לא זמין,כולל,"4,548","5,600",כולל,5.3,לא זמין,1
Samsung,2022,Android,167 גרם,Galaxy S22,סמארטפון,מסך מגע,8GB,1700 2400 3000 MHz,4,6.1 אינטש,4 + 3 + 1 ליבות,1080x2340 פיקסלים,425 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, לבן, ירוק, תכלת, ורוד זהב",ללא,10 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"2,046","2,899",כולל,5.2,"3,700 mAh",1
Apple,2020,iOS,164 גרם,iPhone 12,סמארטפון,מסך מגע,יעודכן בקרוב,יעודכן בקרוב,5,6.1 אינטש,8 ליבות,1170x2532 פיקסלים,460 ppi,יעודכן בקרוב,"OLED, Super Retina",IP68,"שחור, לבן, כחול, אדום, ירוק",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"2,198","3,699",כולל,5.0,יעודכן בקרוב,1
Samsung,2023,Android,168 גרם,Galaxy S23,סמארטפון,מסך מגע,8GB,2000 2800 2800 3360 MHz,5,6.1 אינטש,3 + 2 + 2 + 1 ליבות,1080x2340 פיקסלים,422 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"2,617","3,225",אופציונאלי,5.3,"3,900 mAh",1
Samsung,לא זמין,Android,190 גרם,Galaxy A53,סמארטפון,מסך מגע,8GB,2000 2400 MHz,4,6.46 אינטש,6 + 2 ליבות,1080x2400 פיקסלים,407 ppi,120 Hz,Super AMOLED,IP67,שחור,microSDXC,32 מגה פיקסל,64 + 12 + 5 + 5 מגה פיקסל,כולל,כולל,"1,185","1,620",אופציונאלי,5.2,"5,000 mAh",1
Apple,2022,iOS,206 גרם,iPhone 14 Pro,סמארטפון,מסך מגע,6GB,לא זמין,4,6.1 אינטש,2 + 4 ליבות,1179x2556 פיקסלים,460 ppi,120 Hz,LTPO Super Retina XDR OLED,IP68,"שחור, סגול, כסוף, זהב",ללא,12 מגה פיקסל,48 +12 +12 מגה פיקסל,ללא,כולל,"4,322","4,896",כולל,5.3,לא זמין,1
Samsung,2023,Android,234 גרם,Galaxy S23 Ultra,סמארטפון,מסך מגע,512MB,2800 2800 3360 MHz,5,6.8 אינטש,2 + 2 + 1 ליבות,1440x3088 פיקסלים,501 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,200 + 10 + 10 +12 מגה פיקסל,כולל,כולל,"4,489","5,425",אופציונאלי,5.3,"5,000 mAh",1
Samsung,2022,Android,167 גרם,Galaxy S22,סמארטפון,מסך מגע,8GB,1700 2400 3000 MHz,4,6.1 אינטש,4 + 3 + 1 ליבות,1080x2340 פיקסלים,425 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, לבן, ירוק, תכלת, ורוד זהב",ללא,10 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"2,226","2,945",כולל,5.2,"3,700 mAh",1
Xiaomi,2022,Android,179 גרם,Redmi Note 11,סמארטפון,מסך מגע,6GB,1900 2400 MHz,4,6.43 אינטש,4 + 4 ליבות,1080x2400 פיקסלים,409 ppi,90 Hz,AMOLED,IP53,"לבן, כחול, אפור",microSDXC,13 מגה פיקסל,50 + 8 + 2 + 2 מגה פיקסל,כולל,כולל,680,999,אופציונאלי,5.0,"5,000 mAh",1
Samsung,2020,Android,190 גרם,Galaxy S20,סמארטפון,מסך מגע,8GB,2730 2500 2000 MHz,5,6.5 אינטש,2+2+4,1080x2400 פיקסלים,407 ppi,לא זמין,Super AMOLED,IP68,"לבן, כחול, אדום, כתום, תכלת",Micro SD/T-Flash,32 מגה פיקסל,12 + 8 + 12 מגה פיקסל,כולל,כולל,"1,277","1,649",כולל,5.0,"4,500 mAh",1
Apple,2022,iOS,240 גרם,iPhone 14 Pro Max,סמארטפון,מסך מגע,6GB,לא זמין,4,6.7 אינטש,לא זמין,1290x2796 פיקסלים,460 ppi,120 Hz,LTPO Super Retina XDR OLED,IP68,"שחור, סגול, כסוף, זהב",ללא,12 מגה פיקסל,48 + 12 + 12 צגה פיקסל,לא זמין,כולל,"4,540","5,500",כולל,5.3,לא זמין,1
Samsung,2022,Android,195 גרם,Galaxy A23,סמארטפון,מסך מגע,4GB,1900 2400 MHz,4,6.6 אינטש,4 + 4 ליבות,1080x2408 פיקסלים,400 ppi,90 Hz,PLS LCD,לא זמין,"שחור, לבן, כחול",microSDXC,8 מגה פיקסל,50 + 5 + 2 + 2 מגה פיקסל,כולל,כולל,702,939,ללא,5.0,"5,000 mAh",1
Samsung,2023,Android,168 גרם,Galaxy S23,סמארטפון,מסך מגע,8GB,2000 2800 2800 3360 MHz,5,6.1 אינטש,3 + 2 + 2 + 1 ליבות,1080x2340 פיקסלים,422 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"שחור, ירוק",ללא,12 מגה פיקסל,50 + 10 + 12 מגה פיקסל,כולל,כולל,"2,899","3,475",אופציונאלי,5.3,"3,900 mAh",1
Xiaomi,2022,Android,187 גרם,Redmi Note 12 Pro,סמארטפון,מסך מגע,8GB,2000 2600 MHz,5,6.67 אינטש,6 + 2 ליבות,1080x2400 פיקסלים,395 ppi,120 Hz,OLED,IP53,"שחור, לבן, כחול, סגול",ללא,16 מגה פיקסל,50 + 8 + 2 מגה פיקסל,כולל,כולל,"1,297","1,555",אופציונאלי,5.2,"5,000 mAh",1
Apple,2019,iOS,194 גרם,iPhone 11,סמארטפון,מסך מגע,4GB,2650 1800 MHz,4,6.1 אינטש,2 + 4 ליבות,828x1792 פיקסלים,326 ppi,לא זמין,Super Retina,IP68,"שחור, לבן, סגול, אדום, צהוב, ירוק",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"1,819","2,690",כולל,5.0,"3,110 mAh",2
Apple,2021,iOS,141 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,יעודכן בקרוב,5,5.4 אינטש,2 + 4 ליבות,1080x2340 פיקסלים,476 ppi,לא זמין,Super Retina,IP68,"שחור, כחול, אדום, ורוד",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"2,350","2,999",כולל,5.0,לא זמין,2
Apple,2021,iOS,204 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,יעודכן בקרוב,5,6.1 אינטש,2 + 4 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina,IP68,"כחול, אפור, כסוף, זהב",ללא,12 מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,"4,112","4,849",כולל,5.0,לא זמין,2
Samsung,2023,Android,201 גרם,Galaxy A14,סמארטפון,מסך מגע,4GB,1800 2000 MHz,4,6.6 אינטש,6 + 2 ליבות,1080x2408 פיקסלים,400 ppi,לא זמין,PLS LCD,לא זמין,"שחור, אדום, כסוף, ירוק",microSDXC,13 מגה פיקסל,50 + 5 + 2  מגה פיקסל,כולל,כולל,553,799,אופציונאלי,5.1,"5,000 mAh",2
Apple,2021,iOS,240 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,יעודכן בקרוב,5,6.7 אינטש,2 + 4 ליבות,1284x2778 פיקסלים,458 ppi,לא זמין,Super Retina,IP68,"כחול, אפור, כסוף, זהב",ללא,12 מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,"4,418","5,355",כולל,5.0,לא זמין,2
Samsung,2023,Android,199 גרם,Galaxy M54,סמארטפון,מסך מגע,8GB,2000 2400 MHz,5,6.7 אינטש,4 + 4 ליבות,1080x2400 פיקסלים,393 ppi,120 Hz,Super AMOLED Plus,לא זמין,"כסוף, כחול כהה",microSDXC,32 מגה פיקסל,108 + 8 + 2 מגה פיקסל,כולל,כולל,"1,820","2,029",אופציונאלי,5.3,"6,000 mAh",2
Google,2022,Android,178 גרם,Pixel 6a,סמארטפון,מסך מגע,6GB,1800 2250 2800 MHz,4,6.1 אינטש,4 + 2 + 2 ליבות,1080x2400 פיקסלים,429 ppi,לא זמין,OLED,IP67,"פחם, גיר",ללא,8 מגה פיקסל,12.2 + 12 מגה פיקסל,כולל,כולל,"1,274","1,489",כולל,5.2,"4,410 mAh",2
Apple,2021,iOS,174 גרם,iPhone 13,סמארטפון,מסך מגע,4GB,יעודכן בקרוב,5,6.1 אינטש,2 + 4 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina,IP68,"שחור, כחול, אדום, ורוד",ללא,12 מגה פיקסל,12 + 12 מגה פיקסלים,ללא,כולל,"3,217","4,140",כולל,5.0,לא זמין,2
Google,2022,Android,197 גרם,Pixel 7,סמארטפון,מסך מגע,8GB,1800 2350 2850 MHz,4,6.3 אינטש,4 + 2 + 2 ליבות,1080x2400 פיקסלים,416 ppi,90 Hz,AMOLED,IP68,"לבן, צהוב",ללא,10.8 מגה פיקסל,50 + 12 מגה פיקסל,כולל,כולל,"2,115","2,499",אופציונאלי,5.2,"4,355 mAh",2
Samsung,2021,Android,169 גרם,Galaxy S21,סמארטפון,מסך מגע,8GB,2900 2800 2200 MHz,5,6.2 אינטש,1+3+4,1080x2400 פיקסלים,421 ppi,120 Hz,Dynamic AMOLED 2X,IP68,"לבן, אפור, ורוד",ללא,10 מגה פיקסל,12 + 64 + 12 מגה פיקסל,כולל,כולל,"1,689","2,649",כולל,5.0,"4,000 mAh",2
Apple,2021,iOS,204 גרם,iPhone 13,סמארטפון,מסך מגע,6GB,יעודכן בקרוב,5,6.1 אינטש,2 + 4 ליבות,1170x2532 פיקסלים,460 ppi,לא זמין,Super Retina,IP68,"כחול, אפור, כסוף, זהב",ללא,12 מגה פיקסל,12 +12 +12 מגה פיקסל,ללא,כולל,"3,610","4,499",כולל,5.0,לא זמין,2
